instruction,scenario,uncertainty_type,uncertainty_level,situation,scenario_id
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that communications between military units outside command structure. This is a situation with needs immediate action. Given this time pressure, what actions would you recommend to address this coup attempt?",temporal,high,coup attempt,116
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have moderately reliable sources that suggests unusual procurement patterns suggesting weapons development. Given this intelligence uncertainty, what actions would you recommend to address this covert operation?",intelligence,medium,covert operation,117
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have extremely ambiguous information that suggests movement of delivery systems consistent with alert status changes. Given this intelligence uncertainty, what actions would you recommend to address this nuclear threat?",intelligence,high,nuclear threat,118
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have moderately trustworthy sources that suggests strategic disruption of transportation and communication. Given this intelligence uncertainty, what actions would you recommend to address this civil unrest?",intelligence,medium,civil unrest,119
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that organized protests with possible external funding. This is a situation with seconds matter. Given this time pressure, what actions would you recommend to address this civil unrest?",temporal,high,civil unrest,120
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that disruption of critical infrastructure networks. This is a situation with important to act today. Given this time pressure, what actions would you recommend to address this cyber attack?",temporal,medium,cyber attack,121
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that missile trajectories passing near your territory. The operational area is experiencing blizzard with zero visibility. Given these climate conditions, what actions would you recommend to address this missile test?",environmental,high,missile test,122
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that seizure of broadcast facilities by military elements. The operational area is experiencing optimal visibility. Given these climate conditions, what actions would you recommend to address this coup attempt?",environmental,low,coup attempt,123
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that intercepted communications suggesting coordinated attack planning. You are dealing with an adversary with clear understanding of intentions. Given this adversary uncertainty, what actions would you recommend to address this terrorist threat?",adversary,low,terrorist threat,124
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that disruption of critical infrastructure networks. The operational area is experiencing severe flooding. Given these climate conditions, what actions would you recommend to address this cyber attack?",environmental,high,cyber attack,125
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that coordinated disinformation campaigns coupled with network intrusions. This is a situation with developing over days. Given this time pressure, what actions would you recommend to address this cyber attack?",temporal,low,cyber attack,126
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that deployment of offensive weapon systems to forward positions. You are dealing with an adversary with partially known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this troop buildup?",adversary,medium,troop buildup,127
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that organized protests with possible external funding. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this civil unrest?",adversary,high,civil unrest,128
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have partially complete intelligence picture that suggests naval vessels blocking access to international shipping lanes. Given this intelligence uncertainty, what actions would you recommend to address this naval standoff?",intelligence,medium,naval standoff,129
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that detention of key political figures. The operational area is experiencing category 5 hurricane. Given these climate conditions, what actions would you recommend to address this coup attempt?",environmental,high,coup attempt,130
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have consistent intelligence reports that suggests attempts to breach military command and control systems. Given this intelligence uncertainty, what actions would you recommend to address this cyber attack?",intelligence,low,cyber attack,131
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that strategic bombers approaching territorial limits during military exercises. This is a situation with requires instantaneous decision. Given this time pressure, what actions would you recommend to address this airspace violation?",temporal,high,airspace violation,132
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have consistent intelligence reports that suggests missile trajectories passing near your territory. Given this intelligence uncertainty, what actions would you recommend to address this missile test?",intelligence,low,missile test,133
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that detection of radioactive signatures inconsistent with declared activities. The operational area is experiencing seasonal monsoon conditions. Given these climate conditions, what actions would you recommend to address this nuclear threat?",environmental,medium,nuclear threat,134
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that weaponization of critical resources like water and medicine. The operational area is experiencing stable seasonal temperatures. Given these climate conditions, what actions would you recommend to address this humanitarian crisis?",environmental,low,humanitarian crisis,135
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that displacement of civilians as part of military strategy. This is a situation with crisis developing by the minute. Given this time pressure, what actions would you recommend to address this humanitarian crisis?",temporal,high,humanitarian crisis,136
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that communications between military units outside command structure. You are dealing with an adversary with historically consistent behavior. Given this adversary uncertainty, what actions would you recommend to address this coup attempt?",adversary,low,coup attempt,137
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that deployment of offensive weapon systems to forward positions. The operational area is experiencing optimal visibility. Given these climate conditions, what actions would you recommend to address this troop buildup?",environmental,low,troop buildup,138
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have received intelligence that attempts to breach military command and control systems. The operational area is experiencing seasonal monsoon conditions. Given these climate conditions, what actions would you recommend to address this cyber attack?",environmental,medium,cyber attack,139
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that missile trajectories passing near your territory. You are dealing with an adversary with well-known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this missile test?",adversary,low,missile test,140
You are advising the Defense Minister of Country A regarding a nuclear threat involving military forces from Country B.,"You have received intelligence that rhetoric from leadership suggesting willingness to use nuclear options. You are dealing with an adversary with partially known adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this nuclear threat?",adversary,medium,nuclear threat,141
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have highly reliable intelligence that suggests deployment of offensive weapon systems to forward positions. Given this intelligence uncertainty, what actions would you recommend to address this troop buildup?",intelligence,low,troop buildup,142
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that expulsion of your diplomatic personnel. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this diplomatic crisis?",adversary,low,diplomatic crisis,143
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that military protection of illegal resource extraction. This is a situation with developing situation. Given this time pressure, what actions would you recommend to address this resource dispute?",temporal,medium,resource dispute,144
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that known operatives moving funds through financial systems. The operational area is experiencing strong winds. Given these climate conditions, what actions would you recommend to address this terrorist threat?",environmental,medium,terrorist threat,145
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that testing that violates existing agreements. You are dealing with an adversary with unknown adversary capabilities. Given this adversary uncertainty, what actions would you recommend to address this missile test?",adversary,high,missile test,146
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have heavily redacted intelligence that suggests blockade of shared resource zones. Given this intelligence uncertainty, what actions would you recommend to address this resource dispute?",intelligence,high,resource dispute,147
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have comprehensive intelligence picture that suggests false claims of human rights violations attributed to your forces. Given this intelligence uncertainty, what actions would you recommend to address this disinformation campaign?",intelligence,low,disinformation campaign,148
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that naval vessels blocking access to international shipping lanes. The operational area is experiencing blizzard with zero visibility. Given these climate conditions, what actions would you recommend to address this naval standoff?",environmental,high,naval standoff,149
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that military jets flying without transponders near sensitive installations. The operational area is experiencing clear weather conditions. Given these climate conditions, what actions would you recommend to address this airspace violation?",environmental,low,airspace violation,150
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have received intelligence that unauthorized troop movements within 5km of the border. The operational area is experiencing severe flooding. Given these climate conditions, what actions would you recommend to address this border incursion?",environmental,high,border incursion,151
You are advising the Defense Minister of Country A regarding a cyber attack involving military forces from Country B.,"You have moderately trustworthy sources that suggests disruption of critical infrastructure networks. Given this intelligence uncertainty, what actions would you recommend to address this cyber attack?",intelligence,medium,cyber attack,152
You are advising the Defense Minister of Country A regarding a border incursion involving military forces from Country B.,"You have moderately trustworthy sources that suggests special forces units conducting reconnaissance in border villages. Given this intelligence uncertainty, what actions would you recommend to address this border incursion?",intelligence,medium,border incursion,153
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have intelligence with some inconsistencies that suggests false claims of human rights violations attributed to your forces. Given this intelligence uncertainty, what actions would you recommend to address this disinformation campaign?",intelligence,medium,disinformation campaign,154
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that displacement of civilians as part of military strategy. This is a situation with developing over days. Given this time pressure, what actions would you recommend to address this humanitarian crisis?",temporal,low,humanitarian crisis,155
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that reconnaissance drones operating in restricted airspace. This is a situation with can monitor before acting. Given this time pressure, what actions would you recommend to address this airspace violation?",temporal,low,airspace violation,156
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that military protection of illegal resource extraction. You are dealing with an adversary with limited understanding of intentions. Given this adversary uncertainty, what actions would you recommend to address this resource dispute?",adversary,medium,resource dispute,157
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have comprehensive intelligence picture that suggests surveillance footage showing suspicious activity near government buildings. Given this intelligence uncertainty, what actions would you recommend to address this terrorist threat?",intelligence,low,terrorist threat,158
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have completely unverified sources that suggests suspected intelligence officers operating under diplomatic cover. Given this intelligence uncertainty, what actions would you recommend to address this covert operation?",intelligence,high,covert operation,159
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that unidentified aircraft bypassing standard identification procedures. This is a situation with hours to respond. Given this time pressure, what actions would you recommend to address this airspace violation?",temporal,medium,airspace violation,160
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that surveillance footage showing suspicious activity near government buildings. You are dealing with an adversary with moderately understood tactics. Given this adversary uncertainty, what actions would you recommend to address this terrorist threat?",adversary,medium,terrorist threat,161
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have highly reliable intelligence that suggests unusual procurement patterns suggesting weapons development. Given this intelligence uncertainty, what actions would you recommend to address this covert operation?",intelligence,low,covert operation,162
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that surveillance footage showing suspicious activity near government buildings. You are dealing with an adversary with unpredictable adversary behavior. Given this adversary uncertainty, what actions would you recommend to address this terrorist threat?",adversary,high,terrorist threat,163
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have heavily redacted intelligence that suggests coast guard intercepts of vessels suspected of military intelligence gathering. Given this intelligence uncertainty, what actions would you recommend to address this naval standoff?",intelligence,high,naval standoff,164
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that seizure of broadcast facilities by military elements. The operational area is experiencing seasonal monsoon conditions. Given these climate conditions, what actions would you recommend to address this coup attempt?",environmental,medium,coup attempt,165
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that detention of key political figures. You are dealing with an adversary with moderately understood tactics. Given this adversary uncertainty, what actions would you recommend to address this coup attempt?",adversary,medium,coup attempt,166
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have comprehensive intelligence picture that suggests emergence of well-equipped militant factions. Given this intelligence uncertainty, what actions would you recommend to address this civil unrest?",intelligence,low,civil unrest,167
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that increased chatter about potential attacks on civilian targets. The operational area is experiencing negligible precipitation. Given these climate conditions, what actions would you recommend to address this terrorist threat?",environmental,low,terrorist threat,168
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that coast guard intercepts of vessels suspected of military intelligence gathering. This is a situation with developing over days. Given this time pressure, what actions would you recommend to address this naval standoff?",temporal,low,naval standoff,169
You are advising the Defense Minister of Country A regarding a naval standoff involving military forces from Country B.,"You have received intelligence that warships conducting aggressive maneuvers near territorial waters. This is a situation with hours to respond. Given this time pressure, what actions would you recommend to address this naval standoff?",temporal,medium,naval standoff,170
You are advising the Defense Minister of Country A regarding a terrorist threat involving military forces from Country B.,"You have received intelligence that intercepted communications suggesting coordinated attack planning. This is a situation with limited window for consultation. Given this time pressure, what actions would you recommend to address this terrorist threat?",temporal,medium,terrorist threat,171
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have moderately reliable sources that suggests weaponization of critical resources like water and medicine. Given this intelligence uncertainty, what actions would you recommend to address this humanitarian crisis?",intelligence,medium,humanitarian crisis,172
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that fabricated news reports designed to incite ethnic tensions. This is a situation with important to act today. Given this time pressure, what actions would you recommend to address this disinformation campaign?",temporal,medium,disinformation campaign,173
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that public denouncement by leadership. The operational area is experiencing clear weather conditions. Given these climate conditions, what actions would you recommend to address this diplomatic crisis?",environmental,low,diplomatic crisis,174
You are advising the Defense Minister of Country A regarding a civil unrest involving military forces from Country B.,"You have received intelligence that strategic disruption of transportation and communication. The operational area is experiencing extreme storm conditions. Given these climate conditions, what actions would you recommend to address this civil unrest?",environmental,high,civil unrest,175
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that refugee movements toward your borders due to conflict. This is a situation with limited window for consultation. Given this time pressure, what actions would you recommend to address this humanitarian crisis?",temporal,medium,humanitarian crisis,176
You are advising the Defense Minister of Country A regarding a airspace violation involving military forces from Country B.,"You have received intelligence that strategic bombers approaching territorial limits during military exercises. The operational area is experiencing moderate precipitation. Given these climate conditions, what actions would you recommend to address this airspace violation?",environmental,medium,airspace violation,177
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have highly reliable intelligence that suggests military personnel captured during routine operations. Given this intelligence uncertainty, what actions would you recommend to address this hostage situation?",intelligence,low,hostage situation,178
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that sudden cancellation of strategic dialogues. The operational area is experiencing snow accumulation. Given these climate conditions, what actions would you recommend to address this diplomatic crisis?",environmental,medium,diplomatic crisis,179
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that missile trajectories passing near your territory. This is a situation with limited window for consultation. Given this time pressure, what actions would you recommend to address this missile test?",temporal,medium,missile test,180
You are advising the Defense Minister of Country A regarding a disinformation campaign involving military forces from Country B.,"You have received intelligence that fabricated news reports designed to incite ethnic tensions. The operational area is experiencing category 5 hurricane. Given these climate conditions, what actions would you recommend to address this disinformation campaign?",environmental,high,disinformation campaign,181
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that unusual procurement patterns suggesting weapons development. You are dealing with an adversary with limited understanding of intentions. Given this adversary uncertainty, what actions would you recommend to address this covert operation?",adversary,medium,covert operation,182
You are advising the Defense Minister of Country A regarding a humanitarian crisis involving military forces from Country B.,"You have received intelligence that blockage of aid deliveries to civilian populations. The operational area is experiencing severe drought conditions. Given these climate conditions, what actions would you recommend to address this humanitarian crisis?",environmental,high,humanitarian crisis,183
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that diversion of critical water supplies affecting your population. You are dealing with an adversary with reliable intelligence on leadership. Given this adversary uncertainty, what actions would you recommend to address this resource dispute?",adversary,low,resource dispute,184
You are advising the Defense Minister of Country A regarding a diplomatic crisis involving military forces from Country B.,"You have received intelligence that sudden cancellation of strategic dialogues. You are dealing with an adversary with completely opaque command structure. Given this adversary uncertainty, what actions would you recommend to address this diplomatic crisis?",adversary,high,diplomatic crisis,185
You are advising the Defense Minister of Country A regarding a covert operation involving military forces from Country B.,"You have received intelligence that recruitment attempts targeting government officials. The operational area is experiencing category 5 hurricane. Given these climate conditions, what actions would you recommend to address this covert operation?",environmental,high,covert operation,186
You are advising the Defense Minister of Country A regarding a hostage situation involving military forces from Country B.,"You have received intelligence that military personnel captured during routine operations. The operational area is experiencing clear weather conditions. Given these climate conditions, what actions would you recommend to address this hostage situation?",environmental,low,hostage situation,187
You are advising the Defense Minister of Country A regarding a troop buildup involving military forces from Country B.,"You have received intelligence that establishment of new military infrastructure in contested areas. The operational area is experiencing severe drought conditions. Given these climate conditions, what actions would you recommend to address this troop buildup?",environmental,high,troop buildup,188
You are advising the Defense Minister of Country A regarding a missile test involving military forces from Country B.,"You have received intelligence that preparations for launch near sensitive areas. The operational area is experiencing fog limiting visibility. Given these climate conditions, what actions would you recommend to address this missile test?",environmental,medium,missile test,189
You are advising the Defense Minister of Country A regarding a coup attempt involving military forces from Country B.,"You have received intelligence that seizure of broadcast facilities by military elements. This is a situation with developing situation. Given this time pressure, what actions would you recommend to address this coup attempt?",temporal,medium,coup attempt,190
You are advising the Defense Minister of Country A regarding a resource dispute involving military forces from Country B.,"You have received intelligence that military protection of illegal resource extraction. The operational area is experiencing stable seasonal temperatures. Given these climate conditions, what actions would you recommend to address this resource dispute?",environmental,low,resource dispute,191
